r,u
2.3,0.017998
2.4,0.011652
2.5,0.007544
2.7,0.003162
2.9,0.001325
3.1,0.000555
3.3,0.000233
3.5,0.000098
3.7,0.000041
3.9,0.000017
4.1,0.000007
4.3,0.000003
4.5,0.000001
4.7,0.000001
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
